Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking
2014,Alabama,61.8,0,631.9419999999999,0.664,0.263,0.039,0.012,0.018,19.3,3.6,0.094,0.717,0.189,0.2368421052631578
2015,Alabama,62.2,0,632.62,0.662,0.265,0.04,0.012,0.018,18.7,3.625,0.094,0.717,0.189,0.2368421052631578
2016,Alabama,62.1,0,633.2979999999999,0.66,0.265,0.041,0.012,0.017,17.1,3.65,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2017,Alabama,62.0,0,633.976,0.658,0.266,0.041,0.013,0.017,16.6,3.675,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2018,Alabama,60.9,0,634.6539999999999,0.656,0.265,0.043,0.013,0.019,16.6,3.7,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2019,Alabama,61.7,0,635.332,0.654,0.265,0.044,0.014,0.019,15.3,3.725,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2020,Alabama,60.6,1,636.01,0.649,0.26,0.0455,0.0135,0.0279999999999999,15.55,3.75,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2021,Alabama,59.5,0,636.688,0.644,0.255,0.047,0.013,0.037,15.8,3.775,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2022,Alabama,58.7,0,637.3659999999999,0.645,0.252,0.048,0.014,0.039,16.3,3.8,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578
2014,Alaska,77.3,0,344.1819999999998,0.62,0.03,0.066,0.061,0.074,12.3,7.1000000000000005,0.079,0.6220000000000001,0.2989999999999999,0.4210526315789473
2015,Alaska,77.0,0,345.4549999999999,0.615,0.032,0.067,0.069,0.072,9.9,7.15,0.079,0.6220000000000001,0.2989999999999999,0.4210526315789473
2016,Alaska,76.1,0,346.72800000000007,0.614,0.029,0.067,0.06,0.068,10.4,7.2,0.104,0.6439999999999999,0.252,0.4210526315789473
2017,Alaska,71.5,0,348.00099999999975,0.61,0.025,0.067,0.066,0.089,11.3,7.25,0.104,0.6439999999999999,0.252,0.4210526315789473
2018,Alaska,69.3,0,349.2739999999999,0.601,0.029,0.071,0.061,0.072,10.7,7.3,0.104,0.6439999999999999,0.252,0.4210526315789473
2019,Alaska,68.1,0,350.547,0.6,0.022,0.07,0.06,0.083,10.6,7.35,0.104,0.6439999999999999,0.252,0.4210526315789473
2020,Alaska,65.7,1,351.82,0.5894999999999999,0.024,0.0685,0.065,0.094,10.65,7.4,0.104,0.6439999999999999,0.252,0.4210526315789473
2021,Alaska,64.9,0,353.09299999999985,0.579,0.026,0.067,0.07,0.105,10.7,7.45,0.104,0.6439999999999999,0.252,0.4210526315789473
2022,Alaska,64.9,0,354.366,0.577,0.028,0.073,0.061,0.116,10.8,7.5,0.104,0.6439999999999999,0.252,0.4210526315789473
