Year,State,fertility_rate,covid_year,religousness_rate,percent_white,percent_black,percent_hispanic,percent_asian,percent_mixed_race,poverty_measure,foreign_born,percent_bachelors_or_higher,percent_less_than_high_school,percent_high_school_or_some_college,political_ranking,latest_abortion,no_abortion_law
2022,Alabama,58.7,0,637.3659999999999,0.645,0.252,0.048,0.014,0.039,16.3,3.8,0.0819999999999999,0.7050000000000001,0.213,0.2368421052631578,20.0,0.0
2022,Alaska,64.9,0,354.366,0.577,0.028,0.073,0.061,0.116,10.8,7.5,0.104,0.6439999999999999,0.252,0.4210526315789473,40.0,1.0
2022,Arizona,54.9,0,454.326000000001,0.518,0.043,0.325,0.035,0.044,12.3,13.1,0.09,0.6990000000000001,0.211,0.5789473684210527,18.0,0.0
2022,Arkansas,60.2,0,582.4400000000005,0.677,0.141,0.085,0.015,0.074,16.6,5.1,0.093,0.7010000000000001,0.2059999999999999,0.2368421052631578,16.0,0.0
2022,California,52.8,0,448.0,0.337,0.051,0.404,0.153,0.049,11.7,26.7,0.1159999999999999,0.734,0.15,0.9736842105263156,40.0,1.0
2022,Colorado,51.5,0,349.2579999999998,0.65,0.036,0.226,0.031,0.052,9.0,9.5,0.143,0.7150000000000001,0.1419999999999999,0.7105263157894737,40.0,1.0
2022,Connecticut,50.7,0,466.0000000000009,0.62,0.097,0.183,0.047,0.052,9.7,15.7,0.163,0.747,0.09,0.8157894736842105,28.0,0.0
2022,Delaware,44.9,0,412.7779999999999,0.59,0.211,0.103,0.041,0.054,8.7,9.9,0.121,0.694,0.185,0.7894736842105263,40.0,1.0
2022,Florida,55.6,0,486.6820000000007,0.508,0.144,0.273,0.028,0.046,12.5,21.7,0.107,0.722,0.171,0.5526315789473684,13.0,0.0
2022,Georgia,56.0,0,507.7459999999999,0.498,0.306,0.104,0.044,0.047,12.5,10.7,0.111,0.7030000000000001,0.186,0.5526315789473684,28.0,0.0
2022,Hawaii,59.3,0,415.206,0.195,0.011,0.108,0.359,0.232,10.1,17.1,0.12,0.64,0.24,1.0,40.0,1.0
2022,Idaho,58.4,0,530.5759999999996,0.793,0.005,0.135,0.013,0.043,10.1,6.0,0.072,0.6970000000000001,0.2309999999999999,0.1842105263157895,20.0,0.0
