"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2015"
"Location","White","Black","Hispanic","Asian","American Indian or Alaska Native","Native Hawaiian or Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.616","0.121","0.177","0.054","0.010","<.01","0.025","1.000","1"
"Alabama","0.662","0.265","0.040","0.012","<.01","N/A","0.018","1.000"
"Alaska","0.615","0.032","0.067","0.069","0.140","<.01","0.072","1.000"
"Arizona","0.558","0.040","0.307","0.031","0.041","<.01","0.022","1.000"
"Arkansas","0.731","0.155","0.071","0.014","0.010","<.01","0.022","1.000"
"California","0.378","0.054","0.389","0.141","<.01","<.01","0.030","1.000"
"Colorado","0.686","0.039","0.214","0.030","0.010","<.01","0.025","1.000"
"Connecticut","0.680","0.099","0.155","0.043","<.01","N/A","0.022","1.000"
"Delaware","0.632","0.209","0.091","0.039","<.01","N/A","0.026","1.000"
"District of Columbia","0.355","0.472","0.107","0.037","N/A","N/A","0.027","1.000"
"Florida","0.552","0.153","0.247","0.027","<.01","<.01","0.020","1.000"
"Georgia","0.540","0.307","0.093","0.038","<.01","N/A","0.021","1.000"
"Hawaii","0.217","0.015","0.101","0.369","<.01","0.086","0.212","1.000"
"Idaho","0.828","0.010","0.119","0.011","0.011","N/A","0.024","1.000"
"Illinois","0.619","0.139","0.170","0.052","<.01","<.01","0.019","1.000"
"Indiana","0.801","0.090","0.066","0.020","<.01","N/A","0.020","1.000"
"Iowa","0.869","0.031","0.056","0.022","<.01","N/A","0.018","1.000"
"Kansas","0.765","0.057","0.116","0.029","0.010","N/A","0.027","1.000"
"Kentucky","0.855","0.078","0.033","0.014","<.01","N/A","0.019","1.000"
"Louisiana","0.594","0.318","0.049","0.017","0.010","N/A","0.018","1.000"
"Maine","0.937","0.011","0.015","0.011","0.010","N/A","0.022","1.000"
"Maryland","0.519","0.288","0.095","0.064","<.01","N/A","0.032","1.000"
"Massachusetts","0.731","0.067","0.111","0.063","<.01","N/A","0.027","1.000"
"Michigan","0.757","0.136","0.049","0.029","<.01","N/A","0.024","1.000"
"Minnesota","0.811","0.057","0.051","0.048","0.010","N/A","0.025","1.000"
"Mississippi","0.573","0.377","0.027","0.010","<.01","N/A","0.010","1.000"
"Missouri","0.802","0.113","0.039","0.019","<.01","<.01","0.023","1.000"
"Montana","0.869","<.01","0.036","0.010","0.062","N/A","0.023","1.000"
"Nebraska","0.802","0.048","0.104","0.020","0.010","N/A","0.016","1.000"
"Nevada","0.506","0.081","0.282","0.080","0.010","0.010","0.038","1.000"
"New Hampshire","0.913","0.011","0.033","0.025","<.01","N/A","0.017","1.000"
"New Jersey","0.562","0.124","0.197","0.095","<.01","N/A","0.021","1.000"
"New Mexico","0.383","0.017","0.482","0.014","0.086","N/A","0.018","1.000"
"New York","0.559","0.142","0.189","0.085","<.01","<.01","0.023","1.000"
"North Carolina","0.638","0.212","0.091","0.027","0.011","N/A","0.021","1.000"
"North Dakota","0.862","0.014","0.034","0.012","0.049","N/A","0.028","1.000"
"Ohio","0.799","0.120","0.035","0.020","<.01","N/A","0.025","1.000"
"Oklahoma","0.667","0.069","0.101","0.020","0.069","N/A","0.074","1.000"
"Oregon","0.767","0.017","0.127","0.040","0.010","<.01","0.036","1.000"
"Pennsylvania","0.776","0.102","0.067","0.033","<.01","N/A","0.020","1.000"
"Rhode Island","0.733","0.052","0.146","0.033","<.01","N/A","0.032","1.000"
"South Carolina","0.640","0.270","0.053","0.014","<.01","N/A","0.019","1.000"
"South Dakota","0.829","0.014","0.034","0.012","0.075","N/A","0.036","1.000"
"Tennessee","0.745","0.166","0.051","0.016","<.01","N/A","0.020","1.000"
"Texas","0.430","0.115","0.391","0.045","<.01","<.01","0.017","1.000"
"Utah","0.790","0.011","0.137","0.024","0.010","0.010","0.022","1.000"
"Vermont","0.936","0.012","0.015","0.013","N/A","N/A","0.019","1.000"
"Virginia","0.628","0.185","0.090","0.064","<.01","<.01","0.031","1.000"
"Washington","0.699","0.035","0.123","0.079","0.011","0.010","0.047","1.000"
"West Virginia","0.928","0.034","0.013","0.010","N/A","N/A","0.015","1.000"
"Wisconsin","0.821","0.060","0.066","0.027","0.010","N/A","0.019","1.000"
"Wyoming","0.843","0.010","0.099","0.010","0.019","N/A","0.024","1.000"
"Puerto Rico","0.010","<.01","0.989","N/A","N/A","N/A","<.01","1.000"

"Notes"
"The American Community Survey did not release the 1-year estimates for 2020 due to significant disruptions to data collection brought on by the coronavirus pandemic. "
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."
""
"Data include the civilian noninstitutionalized population in the United States."

"Sources"
"KFF estimates based on the 2008-2023 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
