State,2022_PVI,2020_Biden,2020_Trump,2016_Clinton,2016_Trump
Alabama,R+15,36.60%,62.00%,34.40%,62.10%
Alaska,R+8,42.80%,52.80%,36.60%,51.30%
Arizona,R+2,49.40%,49.10%,44.60%,48.10%
Arkansas,R+16,34.80%,62.40%,33.70%,60.60%
California,D+13,63.50%,34.30%,61.70%,31.60%
Colorado,D+4,55.40%,41.90%,48.20%,43.30%
Connecticut,D+7,59.30%,39.20%,54.60%,40.90%
Delaware,D+7,58.70%,39.80%,53.10%,41.70%
District of Columbia,D+43,92.20%,5.40%,90.90%,4.10%
Florida,R+3,47.90%,51.20%,47.80%,49.00%
Georgia,R+3,49.50%,49.20%,45.60%,50.80%
Hawaii,D+14,63.70%,34.30%,62.20%,30.00%
Idaho,R+18,33.10%,63.80%,27.50%,59.30%
Illinois,D+7,57.50%,40.60%,55.80%,38.80%
Indiana,R+11,41.00%,57.00%,37.90%,56.80%
Iowa,R+6,44.90%,53.10%,41.70%,51.20%
Kansas,R+10,41.60%,56.20%,36.10%,56.70%
Kentucky,R+16,36.20%,62.10%,32.70%,62.50%
Louisiana,R+12,39.90%,58.50%,38.50%,58.10%
Maine,D+2,53.10%,44.00%,47.80%,44.90%
Maryland,D+14,65.40%,32.20%,60.30%,33.90%
Massachusetts,D+15,65.60%,32.10%,60.00%,32.80%
Michigan,R+1,50.60%,47.80%,47.30%,47.50%
Minnesota,D+1,52.40%,45.30%,46.40%,44.90%
Mississippi,R+11,41.10%,57.60%,40.10%,57.90%
Missouri,R+10,41.40%,56.80%,38.10%,56.80%
Montana,R+11,40.60%,56.90%,35.80%,56.20%
Nebraska,R+13,39.20%,58.20%,33.70%,58.80%
Nevada,R+1,50.10%,47.70%,47.90%,45.50%
New Hampshire,D+1,52.70%,45.40%,47.00%,46.60%
New Jersey,D+6,57.30%,41.40%,55.50%,41.40%
New Mexico,D+3,54.30%,43.50%,48.30%,40.00%
New York,D+10,60.90%,37.80%,59.00%,36.50%
North Carolina,R+3,48.60%,49.90%,46.20%,49.80%
North Dakota,R+20,31.80%,65.10%,27.20%,63.00%
Ohio,R+6,45.20%,53.30%,43.60%,51.70%
Oklahoma,R+20,32.30%,65.40%,28.90%,65.30%
Oregon,D+6,56.50%,40.40%,50.10%,39.10%
Pennsylvania,R+2,50.00%,48.80%,47.50%,48.20%
Rhode Island,D+8,59.40%,38.60%,54.40%,38.90%
South Carolina,R+8,43.40%,55.10%,40.70%,54.90%
South Dakota,R+16,35.60%,61.80%,31.70%,61.50%
Tennessee,R+14,37.50%,60.70%,34.70%,60.70%
Texas,R+5,46.50%,52.10%,43.20%,52.20%
Utah,R+13,37.70%,58.10%,27.50%,45.50%
Vermont,D+16,66.10%,30.70%,56.70%,30.30%
Virginia,D+3,54.10%,44.00%,49.70%,44.40%
Washington,D+8,58.00%,38.80%,52.50%,36.80%
West Virginia,R+22,29.70%,68.60%,26.40%,68.50%
Wisconsin,R+2,49.50%,48.80%,46.50%,47.20%
Wyoming,R+25,26.60%,69.90%,21.90%,68.20%
