State,2022,2010
California,26.7,27.2
New Jersey,23.5,21.0
New York,22.7,22.2
Florida,21.7,19.4
Nevada,18.9,18.8
Massachusetts,18.0,15.0
Texas,17.2,16.4
Hawaii,17.1,18.2
Maryland,16.7,13.9
Connecticut,15.7,13.6
Washington,15.3,13.1
Rhode Island,14.4,12.8
Illinois,14.4,13.7
Arizona,13.1,13.4
Virginia,12.7,11.4
Georgia,10.7,9.7
Delaware,9.9,8.0
Oregon,9.9,9.8
Colorado,9.5,9.8
New Mexico,9.3,9.9
Minnesota,8.7,7.1
Utah,8.6,8.0
North Carolina,8.6,7.5
Pennsylvania,7.5,5.8
Alaska,7.5,6.9
Nebraska,7.2,6.1
Kansas,7.1,6.5
Michigan,6.9,6.0
New Hampshire,6.2,5.3
Indiana,6.1,4.6
Oklahoma,6.0,5.5
Idaho,6.0,5.5
Iowa,6.0,4.6
Tennessee,5.6,4.5
South Carolina,5.2,4.7
Arkansas,5.1,4.5
Wisconsin,5.0,4.5
Ohio,5.0,4.1
North Dakota,4.9,2.5
Vermont,4.2,4.4
Louisiana,4.2,3.8
Missouri,4.1,3.9
Maine,4.1,3.4
Kentucky,4.0,3.2
Alabama,3.8,3.5
South Dakota,3.5,2.7
Wyoming,3.1,2.8
Montana,2.3,2.0
Mississippi,2.2,2.1
West Virginia,1.8,1.2
