State,Year,foreign_born
Alabama,2014,3.6
Alabama,2015,3.625
Alabama,2016,3.65
Alabama,2017,3.675
Alabama,2018,3.6999999999999997
Alabama,2019,3.7249999999999996
Alabama,2020,3.75
Alabama,2021,3.775
Alabama,2022,3.8
Alaska,2014,7.1000000000000005
Alaska,2015,7.15
Alaska,2016,7.2
Alaska,2017,7.25
Alaska,2018,7.3
Alaska,2019,7.35
Alaska,2020,7.4
Alaska,2021,7.45
Alaska,2022,7.5
Arizona,2014,13.3
Arizona,2015,13.275
Arizona,2016,13.25
Arizona,2017,13.225
Arizona,2018,13.2
Arizona,2019,13.175
Arizona,2020,13.15
Arizona,2021,13.125
Arizona,2022,13.1
Arkansas,2014,4.7
Arkansas,2015,4.75
Arkansas,2016,4.8
Arkansas,2017,4.85
Arkansas,2018,4.8999999999999995
Arkansas,2019,4.949999999999999
Arkansas,2020,5.0
Arkansas,2021,5.05
Arkansas,2022,5.1
California,2014,27.03333333333333
California,2015,26.991666666666667
California,2016,26.95
California,2017,26.90833333333333
California,2018,26.866666666666667
California,2019,26.825
California,2020,26.78333333333333
California,2021,26.741666666666667
California,2022,26.7
Colorado,2014,9.700000000000001
Colorado,2015,9.675
Colorado,2016,9.65
Colorado,2017,9.625
Colorado,2018,9.6
Colorado,2019,9.575
Colorado,2020,9.55
Colorado,2021,9.525
Colorado,2022,9.5
Connecticut,2014,14.299999999999999
Connecticut,2015,14.475
Connecticut,2016,14.649999999999999
Connecticut,2017,14.825
Connecticut,2018,15.0
Connecticut,2019,15.174999999999999
Connecticut,2020,15.35
Connecticut,2021,15.524999999999999
Connecticut,2022,15.7
Delaware,2014,8.633333333333333
Delaware,2015,8.791666666666666
Delaware,2016,8.95
Delaware,2017,9.108333333333334
Delaware,2018,9.266666666666667
Delaware,2019,9.425
Delaware,2020,9.583333333333334
Delaware,2021,9.741666666666667
Delaware,2022,9.9
Florida,2014,20.166666666666664
Florida,2015,20.35833333333333
Florida,2016,20.549999999999997
Florida,2017,20.741666666666667
Florida,2018,20.933333333333334
Florida,2019,21.125
Florida,2020,21.316666666666666
Florida,2021,21.508333333333333
Florida,2022,21.7
Georgia,2014,10.033333333333333
Georgia,2015,10.116666666666665
Georgia,2016,10.2
Georgia,2017,10.283333333333333
Georgia,2018,10.366666666666665
Georgia,2019,10.45
Georgia,2020,10.533333333333333
Georgia,2021,10.616666666666665
Georgia,2022,10.7
Hawaii,2014,17.833333333333332
Hawaii,2015,17.741666666666667
Hawaii,2016,17.65
Hawaii,2017,17.558333333333334
Hawaii,2018,17.46666666666667
Hawaii,2019,17.375
Hawaii,2020,17.283333333333335
Hawaii,2021,17.191666666666666
Hawaii,2022,17.1
Idaho,2014,5.666666666666667
Idaho,2015,5.708333333333333
Idaho,2016,5.75
Idaho,2017,5.791666666666667
Idaho,2018,5.833333333333333
Idaho,2019,5.875
Idaho,2020,5.916666666666667
Idaho,2021,5.958333333333333
Idaho,2022,6.0
Illinois,2014,13.933333333333334
Illinois,2015,13.991666666666667
Illinois,2016,14.05
Illinois,2017,14.108333333333333
Illinois,2018,14.166666666666666
Illinois,2019,14.225
Illinois,2020,14.283333333333333
Illinois,2021,14.341666666666667
Illinois,2022,14.4
Indiana,2014,5.1
Indiana,2015,5.225
Indiana,2016,5.35
Indiana,2017,5.475
Indiana,2018,5.6
Indiana,2019,5.725
Indiana,2020,5.85
Indiana,2021,5.975
Indiana,2022,6.1
Iowa,2014,5.066666666666666
Iowa,2015,5.183333333333334
Iowa,2016,5.3
Iowa,2017,5.416666666666666
Iowa,2018,5.533333333333333
Iowa,2019,5.65
Iowa,2020,5.766666666666667
Iowa,2021,5.883333333333333
Iowa,2022,6.0
Kansas,2014,6.7
Kansas,2015,6.75
Kansas,2016,6.8
Kansas,2017,6.85
Kansas,2018,6.8999999999999995
Kansas,2019,6.949999999999999
Kansas,2020,7.0
Kansas,2021,7.05
Kansas,2022,7.1
Kentucky,2014,3.466666666666667
Kentucky,2015,3.533333333333333
Kentucky,2016,3.6
Kentucky,2017,3.666666666666667
Kentucky,2018,3.7333333333333334
Kentucky,2019,3.8
Kentucky,2020,3.8666666666666667
Kentucky,2021,3.9333333333333336
Kentucky,2022,4.0
Louisiana,2014,3.933333333333333
Louisiana,2015,3.966666666666667
Louisiana,2016,4.0
Louisiana,2017,4.033333333333333
Louisiana,2018,4.066666666666666
Louisiana,2019,4.1
Louisiana,2020,4.133333333333334
Louisiana,2021,4.166666666666667
Louisiana,2022,4.2
Maine,2014,3.6333333333333333
Maine,2015,3.6916666666666664
Maine,2016,3.75
Maine,2017,3.808333333333333
Maine,2018,3.8666666666666663
Maine,2019,3.925
Maine,2020,3.983333333333333
Maine,2021,4.041666666666666
Maine,2022,4.1
Maryland,2014,14.833333333333334
Maryland,2015,15.066666666666666
Maryland,2016,15.3
Maryland,2017,15.533333333333333
Maryland,2018,15.766666666666666
Maryland,2019,16.0
Maryland,2020,16.233333333333334
Maryland,2021,16.466666666666665
Maryland,2022,16.7
Massachusetts,2014,16.0
Massachusetts,2015,16.25
Massachusetts,2016,16.5
Massachusetts,2017,16.75
Massachusetts,2018,17.0
Massachusetts,2019,17.25
Massachusetts,2020,17.5
Massachusetts,2021,17.75
Massachusetts,2022,18.0
Michigan,2014,6.3
Michigan,2015,6.375
Michigan,2016,6.45
Michigan,2017,6.525
Michigan,2018,6.6000000000000005
Michigan,2019,6.675000000000001
Michigan,2020,6.75
Michigan,2021,6.825
Michigan,2022,6.9
Minnesota,2014,7.633333333333333
Minnesota,2015,7.766666666666666
Minnesota,2016,7.8999999999999995
Minnesota,2017,8.033333333333333
Minnesota,2018,8.166666666666666
Minnesota,2019,8.299999999999999
Minnesota,2020,8.433333333333334
Minnesota,2021,8.566666666666666
Minnesota,2022,8.7
Mississippi,2014,2.1333333333333333
Mississippi,2015,2.1416666666666666
Mississippi,2016,2.1500000000000004
Mississippi,2017,2.1583333333333337
Mississippi,2018,2.166666666666667
Mississippi,2019,2.1750000000000003
Mississippi,2020,2.1833333333333336
Mississippi,2021,2.191666666666667
Mississippi,2022,2.2
Missouri,2014,3.9666666666666663
Missouri,2015,3.983333333333333
Missouri,2016,4.0
Missouri,2017,4.016666666666667
Missouri,2018,4.033333333333333
Missouri,2019,4.05
Missouri,2020,4.066666666666666
Missouri,2021,4.083333333333333
Missouri,2022,4.1
Montana,2014,2.1
Montana,2015,2.125
Montana,2016,2.15
Montana,2017,2.175
Montana,2018,2.1999999999999997
Montana,2019,2.2249999999999996
Montana,2020,2.25
Montana,2021,2.275
Montana,2022,2.3
Nebraska,2014,6.466666666666667
Nebraska,2015,6.558333333333334
Nebraska,2016,6.65
Nebraska,2017,6.741666666666667
Nebraska,2018,6.833333333333333
Nebraska,2019,6.925
Nebraska,2020,7.016666666666667
Nebraska,2021,7.108333333333333
Nebraska,2022,7.2
Nevada,2014,18.833333333333332
Nevada,2015,18.841666666666665
Nevada,2016,18.85
Nevada,2017,18.858333333333334
Nevada,2018,18.866666666666667
Nevada,2019,18.875
Nevada,2020,18.883333333333333
Nevada,2021,18.891666666666666
Nevada,2022,18.9
New Hampshire,2014,5.6
New Hampshire,2015,5.675
New Hampshire,2016,5.75
New Hampshire,2017,5.825
New Hampshire,2018,5.9
New Hampshire,2019,5.975
New Hampshire,2020,6.05
New Hampshire,2021,6.125
New Hampshire,2022,6.2
New Jersey,2014,21.833333333333332
New Jersey,2015,22.041666666666668
New Jersey,2016,22.25
New Jersey,2017,22.458333333333332
New Jersey,2018,22.666666666666668
New Jersey,2019,22.875
New Jersey,2020,23.083333333333332
New Jersey,2021,23.291666666666668
New Jersey,2022,23.5
New Mexico,2014,9.700000000000001
New Mexico,2015,9.65
New Mexico,2016,9.600000000000001
